id,userId,eventId,status,grading_status,verified_date,quarter,number_idea_submitted_student,number_idea_submitted_faculty,number_applications_selected,financial_year,event_driven,activity_name,event_type,event_theme,activity_lead,from_date,to_date,days,internal_participant,student_participants,faculty_participants,expenditure_amount,faculty_member,student_member,remark,session_type,video,resolution_report,quarterly_plan,report,photo1,photo2,month,other,otherProgramType,Objective,descriptions,benefit_learning,totalmarks,twitter_url,facebook_url,instagram_url,verified,expected_level,comments,super_evaluator_status,created_date,flag_check,acadmic_year,activity_duration,verifiedBy,status_eval_1,duration,linkedin_url,review_request
338919,IC202425920,C24-25240853,Submitted,0,,Quarter II,,,,2024-25,1,Workshop on Effective Sales and Marketing Strategies for Entrepreneurs /Start-ups,Level 1 - Expert Talk,Entrepreneurship & Startup,,02/28/2025,02/28/2025,0,,35,14,,,,,offline,,,,uploads-2024-25/institutes/monthlyReport/report/7473-24032025155547-IC202425920.pdf,uploads-2024-25/institutes/monthlyReport/Photograph1/4898-24032025155547-IC202425920.jpg,uploads-2024-25/institutes/monthlyReport/Photograph2/7515-24032025155547-IC202425920.jpg,0,,,to learn startup schemes and hoe to convert ideas to startup,,learn how to become a startup and entrepreneur,,0,0,0,,,,,2025-03-24 21:25:47,,2024-25,1.0,,submitted,,,
338923,IC202218336,C24-25240884,Submitted,0,,Quarter II,,,,2024-25,1,Session on Achieving Problem-Solution Fit & Product-Market Fit,Level 2 - Workshop,IPR & Technology Transfer,,01/17/2025,01/17/2025,0,,40,10,,,,,offline,,,,uploads-2024-25/institutes/monthlyReport/report/1558-24032025162217-IC202218336.pdf,uploads-2024-25/institutes/monthlyReport/Photograph1/8528-24032025162217-IC202218336.jpg,,0,,,It aimed to  provide students with hands-on exposure to IoT sensors and their applications.,,"Students gained practical experience in working with IoT sensors, improving their technical  skills and innovation mindset",,0,0,https://www.instagram.com/p/DFkmRmdyj-a/,,,,,2025-03-24 21:52:17,,2024-25,6.0,,submitted,,0,
338925,IC202218336,C24-25240851,Submitted,0,,Quarter II,,,,2024-25,1,Organizing Innovation & Entrepreneurship Outreach Program in Schools by engaging active Atal Tinkering Labs and School Innovation Council (SIC),Level 2 - Exposure Visit,IPR & Technology Transfer,,01/23/2024,01/23/2024,0,,51,2,,,,,offline,,,,uploads-2024-25/institutes/monthlyReport/report/1587-24032025162720-IC202218336.pdf,uploads-2024-25/institutes/monthlyReport/Photograph1/2510-24032025162720-IC202218336.jpg,uploads-2024-25/institutes/monthlyReport/Photograph2/1356-24032025162720-IC202218336.jpg,0,,,It aimed to provide students  with hands-on exposure to cutting-edge technology and innovation,,"Students benefited by gaining firsthand experience with state-of-the-art machinery, enhancing  their technical skills and industry readiness.",,0,0,https://www.instagram.com/p/DFsnphAyCz8/,,,,,2025-03-24 21:57:20,,2024-25,6.0,,submitted,,0,
338928,IC202426354,C24-25240239,Submitted,0,,Quarter I,,,,2024-25,1,My Story - Motivational Session by Successful Innovators,Level 1 - Expert Talk,Entrepreneurship & Startup,,11/26/2024,11/26/2024,0,0.0,90,3,7000.0,,,,offline,,,,uploads-2024-25/institutes/monthlyReport/report/8684-24032025163306-IC202426354.pdf,uploads-2024-25/institutes/monthlyReport/Photograph1/9069-24032025163306-IC202426354.png,uploads-2024-25/institutes/monthlyReport/Photograph2/1090-24032025163306-IC202426354.jpg,0,,,Inspire and guide aspiring entrepreneurs through real-life success stories and leadership insights.,,"Gained insights on entrepreneurship, leadership, problem-solving, industry trends, and strategic planning from Dr. Punitha Sivasubramanian's journey.",,0,0,0,,,,,2025-03-24 22:03:06,,2024-25,3.0,,submitted,,0,
338930,IC201912536,C24-25240884,Submitted,0,,Quarter II,,,,2024-25,1,Session on Achieving Problem-Solution Fit & Product-Market Fit,Level 2 - Workshop,Innovation & Design Thinking,,02/25/2025,02/25/2025,0,,15,1,800.0,,,,offline,,,,uploads-2024-25/institutes/monthlyReport/report/4416-24032025164511-IC201912536.pdf,uploads-2024-25/institutes/monthlyReport/Photograph1/9691-24032025164511-IC201912536.png,uploads-2024-25/institutes/monthlyReport/Photograph2/9192-24032025164511-IC201912536.png,0,,,"Students explored Product-Market Fit, analyzed startup pitches, and made investor-style decisions.",,"Students learned the importance of Product-Market Fit, assessed market demand, and built analytical skills through hands-on startup pitch evaluations.",,https://x.com/iic_jklu/status/1896983974972678204,0,https://www.instagram.com/p/DGyVqSDCZN-/?img_index=4,,,,,2025-03-24 22:15:11,,2024-25,1.0,,submitted,,https://www.linkedin.com/feed/update/urn:li:activity:7302749416044609536,
338932,IC201912536,C24-25240850,Submitted,0,,Quarter II,,,,2024-25,1,"Workshop on Design Thinking, Critical thinking and Innovation Design",Level 2 - Workshop,Innovation & Design Thinking,,02/19/2025,02/19/2025,0,,20,2,600.0,,,,offline,,,,uploads-2024-25/institutes/monthlyReport/report/8513-24032025165433-IC201912536.pdf,uploads-2024-25/institutes/monthlyReport/Photograph1/7026-24032025165432-IC201912536.png,uploads-2024-25/institutes/monthlyReport/Photograph2/6045-24032025165432-IC201912536.png,0,,,"Students tackled startup crisis scenarios, building decision-making and risk management skills hands",,Students built crisis management skills and enhanced decision-making through real-world startup simulations and strategic response exercises.,,https://x.com/iic_jklu/status/1892612858577408482,0,https://www.instagram.com/p/DGTRo3SzJY7/?img_index=1,,,,,2025-03-24 22:24:33,,2024-25,1.5,,submitted,,https://www.linkedin.com/feed/update/urn:li:activity:7298377962964369409,
338934,IC201912536,C24-25240889,Submitted,0,,Quarter II,,,,2024-25,1,Organize an Inter/Intra Institutional Innovation Competition/Challenge/Hackathon and Reward the Best Innovations and deposition in the Institution’s YUKTI Innovation Repository,Level 3 - Competition/Hacakthon,Entrepreneurship & Startup,,02/28/2025,02/28/2025,0,4.0,40,4,4000.0,,,,offline,,,,uploads-2024-25/institutes/monthlyReport/report/2285-24032025170626-IC201912536.pdf,uploads-2024-25/institutes/monthlyReport/Photograph1/8577-24032025170626-IC201912536.png,uploads-2024-25/institutes/monthlyReport/Photograph2/8844-24032025170626-IC201912536.png,0,,,"Crowd Venture let startups pitch live, gain investor feedback, and win real funding at Aarohan'25.",,"Live startup pitching gave students investor feedback, funding chances, and boosted validation, confidence, and strategic thinking skills.",,https://x.com/iic_jklu/status/1901846867547472195,0,https://www.instagram.com/p/DHU418ticV1/?img_index=1,,,,,2025-03-24 22:36:26,,2024-25,3.0,,submitted,,https://www.linkedin.com/feed/update/urn:li:activity:7307612201576505344,
338942,IC202426354,C24-25240198,Submitted,0,,Quarter I,,,,2024-25,1,Workshop on “Entrepreneurship and Innovation as Career Opportunity”,Level 1 - Expert Talk,Entrepreneurship & Startup,,09/25/2024,03/25/2025,181,,35,7,5000.0,,,,offline,,,,uploads-2024-25/institutes/monthlyReport/report/1798-24032025191359-IC202426354.pdf,uploads-2024-25/institutes/monthlyReport/Photograph1/2518-24032025191359-IC202426354.jpeg,,0,,,"Workshop introduced students to entrepreneurship, inspiring it as a career path with key skills.",,"The workshop highlighted entrepreneurship as a career, offering insights into challenges, leadership, inspiring students to explore opportunities.",,0,0,0,,,,,2025-03-25 00:43:59,,2024-25,3.0,,submitted,,0,
338943,IC202426354,C24-25240240,Submitted,0,,Quarter I,,,,2024-25,1,From Idea to Impact - Motivational Session by Successful Entrepreneur/Start-up Founder,Level 2 - Seminar,Entrepreneurship & Startup,,10/23/2024,10/23/2024,0,,120,6,12000.0,,,,offline,,,,uploads-2024-25/institutes/monthlyReport/report/8860-24032025194720-IC202426354.pdf,uploads-2024-25/institutes/monthlyReport/Photograph1/7262-24032025194720-IC202426354.jpeg,uploads-2024-25/institutes/monthlyReport/Photograph2/4373-24032025194720-IC202426354.jpeg,0,,,"To equip students with startup skills, focusing on entrepreneurship, networking, and business growth",,"The session enhanced startup readiness by building entrepreneurial skills, networking, and business insights",,0,0,0,,,,,2025-03-25 01:17:20,,2024-25,4.5,,submitted,,0,
338944,IC202426354,C24-25240243,Submitted,0,,Quarter I,,,,2024-25,1,Exposure and field visit for problem identification: Aligning with UN SDGs and Exploring Emerging Areas of Technologies,Level 2 - Exposure Visit,Entrepreneurship & Startup,,09/26/2024,09/26/2024,0,,101,7,23000.0,,,,offline,,,,uploads-2024-25/institutes/monthlyReport/report/5374-24032025214412-IC202426354.pdf,uploads-2024-25/institutes/monthlyReport/Photograph1/4974-24032025214412-IC202426354.jpg,uploads-2024-25/institutes/monthlyReport/Photograph2/1347-24032025214412-IC202426354.jpg,0,,,CLRI visit helped students identify startup opportunities by exploring real-world tech & sustainable,,"Students gained insights into real-world challenges, inspiring startup ideas in tech, sustainability, & innovation through practical exposure at CLRI",,0,0,0,,,,,2025-03-25 03:14:12,,2024-25,4.5,,submitted,,0,
